turbulence_intensity,wind_speed,wind_direction
0.12,6.20532089164272,266.283666666667
0.12,6.26533850030266,264.083666666667
0.12,6.22532676119604,266.483666666667
0.12,6.30535023940929,269.383666666667
0.12,6.28534436985598,273.683666666667
0.12,6.1653091525361,269.183666666667
0.12,6.28534436985598,270.283666666667
0.12,6.20532089164272,268.683666666667
0.12,6.06527980476954,265.883666666667
0.12,6.06527980476954,267.183666666667
0.12,6.08528567432285,270.983666666667
0.12,6.14530328298279,266.783666666667
0.12,6.30535023940929,270.283666666667
0.12,6.28534436985598,269.083666666667
0.12,6.14530328298279,269.683666666667
0.12,6.06527980476954,272.083666666667
0.12,6.18531502208941,271.583666666667
0.12,6.14530328298279,271.783666666667
0.12,5.96525045700297,268.483666666667
0.12,6.0052621961096,270.183666666667
0.12,5.94524458744966,267.883666666667
0.12,6.1653091525361,266.983666666667
0.12,6.12529741342947,264.783666666667
0.12,6.12529741342947,263.783666666667
0.12,6.24533263074935,263.483666666667
0.12,6.20532089164272,268.283666666667
0.12,6.26533850030266,263.283666666667
0.12,6.3253561089626,264.783666666667
0.12,6.10529154387616,263.083666666667
0.12,6.24533263074935,264.183666666667
0.12,6.28534436985598,264.983666666667
0.12,6.20532089164272,265.983666666667
0.12,6.14530328298279,264.483666666667
0.12,6.10529154387616,265.983666666667
0.12,5.94524458744966,261.183666666667
0.12,6.24533263074935,262.283666666667
0.12,6.34536197851591,263.583666666667
0.12,6.30535023940929,264.183666666667
0.12,6.18531502208941,264.983666666667
0.12,6.1653091525361,264.783666666667
0.12,6.22532676119604,265.183666666667
0.12,6.36536784806923,269.283666666667
0.12,6.18531502208941,268.283666666667
0.12,6.20532089164272,270.683666666667
0.12,6.10529154387616,269.383666666667
0.12,6.18531502208941,266.283666666667
0.12,6.26533850030266,269.983666666667
0.12,6.1653091525361,267.183666666667
0.12,6.10529154387616,266.283666666667
0.12,6.3253561089626,266.783666666667
0.12,6.34536197851591,267.183666666667
0.12,6.26533850030266,269.783666666667
0.12,6.28534436985598,273.583666666667
0.12,6.24533263074935,272.083666666667
0.12,6.20532089164272,267.083666666667
0.12,6.22532676119604,267.683666666667
0.12,6.0052621961096,268.183666666667
0.12,6.12529741342947,268.983666666667
0.12,6.1653091525361,269.083666666667
0.12,5.92523871789635,266.083666666667
0.12,6.04527393521622,266.783666666667
0.12,6.10529154387616,266.483666666667
0.12,6.06527980476954,266.883666666667
0.12,6.20532089164272,267.183666666667
0.12,6.22532676119604,263.083666666667
0.12,6.04527393521622,267.083666666667
0.12,6.06527980476954,270.983666666667
0.12,5.98525632655628,266.783666666667
0.12,6.1653091525361,268.983666666667
0.12,6.18531502208941,268.283666666667
0.12,6.18531502208941,271.983666666667
0.12,6.06527980476954,273.283666666667
0.12,6.08528567432285,277.583666666667
0.12,6.1653091525361,272.983666666667
0.12,6.06527980476954,268.583666666667
0.12,6.0052621961096,267.983666666667
0.12,5.90523284834303,268.883666666667
0.12,6.0052621961096,269.383666666667
0.12,6.06527980476954,268.383666666667
0.12,5.98525632655628,263.383666666667
0.12,6.12529741342947,259.283666666667
0.12,6.14530328298279,258.683666666667
0.12,6.24533263074935,260.883666666667
0.12,6.18531502208941,263.683666666667
0.12,6.14530328298279,263.383666666667
0.12,6.04527393521622,264.383666666667
0.12,5.96525045700297,265.983666666667
0.12,5.86522110923641,267.783666666667
0.12,5.94524458744966,267.683666666667
0.12,6.08528567432285,266.883666666667
0.12,6.14530328298279,265.183666666667
0.12,6.12529741342947,265.783666666667
0.12,6.0052621961096,266.083666666667
0.12,6.04527393521622,266.683666666667
0.12,6.24533263074935,262.383666666667
0.12,6.36536784806923,264.283666666667
0.12,6.22532676119604,268.283666666667
0.12,6.20532089164272,272.283666666667
0.12,6.28534436985598,270.983666666667
0.12,6.18531502208941,270.183666666667
0.12,6.18531502208941,270.483666666667
0.12,6.22532676119604,272.283666666667
0.12,6.20532089164272,272.983666666667
0.12,6.02526806566291,272.683666666667
0.12,6.14530328298279,274.283666666667
0.12,6.12529741342947,273.583666666667
0.12,6.12529741342947,274.483666666667
0.12,6.14530328298279,274.683666666667
0.12,6.22532676119604,273.683666666667
0.12,6.20532089164272,273.483666666667
0.12,6.18531502208941,273.883666666667
0.12,6.20532089164272,272.883666666667
0.12,6.12529741342947,272.083666666667
0.12,6.22532676119604,268.883666666667
0.12,6.10529154387616,268.383666666667
0.12,6.1653091525361,269.183666666667
0.12,6.18531502208941,270.083666666667
0.12,6.20532089164272,270.383666666667
0.12,6.18531502208941,270.683666666667
0.12,6.04527393521622,271.183666666667
0.12,6.06527980476954,269.583666666667
0.12,6.04527393521622,268.083666666667
0.12,6.12529741342947,269.583666666667
0.12,6.08528567432285,266.383666666667
0.12,6.1653091525361,265.883666666667
0.12,6.08528567432285,267.483666666667
0.12,6.12529741342947,265.883666666667
0.12,6.14530328298279,270.583666666667
0.12,6.06527980476954,269.283666666667
0.12,6.02526806566291,269.883666666667
0.12,5.98525632655628,269.283666666667
0.12,6.08528567432285,271.583666666667
0.12,5.98525632655628,271.183666666667
0.12,5.98525632655628,271.483666666667
0.12,6.02526806566291,270.483666666667
0.12,5.96525045700297,269.583666666667
0.12,6.08528567432285,266.083666666667
0.12,6.08528567432285,262.583666666667
0.12,6.14530328298279,260.683666666667
