turbulence_intensity,wind_speed,wind_direction
0.12,6.22532676119604,-5.13480000000001
0.12,6.08528567432285,-6.13480000000001
0.12,6.02526806566291,-7.13480000000001
0.12,5.96525045700297,-10.2348
0.12,6.14530328298279,-10.3348
0.12,6.20532089164272,-11.1348
0.12,6.24533263074935,-9.93480000000002
0.12,6.22532676119604,-10.5348
0.12,6.26533850030266,-11.1348
0.12,6.34536197851591,-12.9348
0.12,6.36536784806923,-12.2348
0.12,6.3253561089626,-11.1348
0.12,6.30535023940929,-12.4348
0.12,6.30535023940929,-12.9348
0.12,6.36536784806923,-13.8348
0.12,6.46539719583579,-12.4348
0.12,6.44539132628248,-13.3348
0.12,6.4854030653891,-13.7348
0.12,6.52541480449573,-13.1348
0.12,6.52541480449573,-13.7348
0.12,6.4854030653891,-13.0348
0.12,6.56542654360235,-13.7348
0.12,6.58543241315567,-13.4348
0.12,6.44539132628248,-11.5348
0.12,6.3253561089626,-9.73479999999998
0.12,6.22532676119604,-7.3348
0.12,6.20532089164272,-3.13480000000001
0.12,6.10529154387616,-9.13480000000001
0.12,6.30535023940929,-11.2348
0.12,6.24533263074935,-10.4348
0.12,6.22532676119604,-10.0348
0.12,6.24533263074935,-7.43480000000002
0.12,6.28534436985598,-6.8348
0.12,6.3253561089626,-5.53479999999999
0.12,6.42538545672916,-3.23479999999998
0.12,6.50540893494241,-0.03479999999999
0.12,6.52541480449573,-0.03479999999999
0.12,6.56542654360235,1.06519999999998
0.12,6.52541480449573,-1.13480000000001
0.12,6.50540893494241,-2.73479999999998
0.12,6.60543828270898,-1.43480000000002
0.12,6.6454500218156,0.265200000000021
0.12,6.6454500218156,1.1652
0.12,6.66545589136892,1.26520000000002
0.12,6.62544415226229,1.1652
0.12,6.60543828270898,0.0651999999999759
0.12,6.56542654360235,2.46520000000001
0.12,6.60543828270898,0.96520000000001
0.12,6.54542067404904,-0.834800000000001
0.12,6.42538545672916,-3.63480000000001
0.12,6.44539132628248,-2.43480000000002
0.12,6.4854030653891,-2.73479999999998
0.12,6.46539719583579,-1.8348
0.12,6.52541480449573,1.1652
0.12,6.54542067404904,2.6652
0.12,6.52541480449573,3.56519999999998
0.12,6.52541480449573,4.56519999999998
0.12,6.50540893494241,4.56519999999998
0.12,6.52541480449573,4.86519999999999
0.12,6.4854030653891,5.6652
0.12,6.50540893494241,5.86519999999999
0.12,6.50540893494241,5.06519999999998
